PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,LOCATIONCODE,LAG,LOCATIONTYPE,RELATIONTYPE
5466,W101GB00,Z101ZBI0,101,3,B,FS
5466,P101BP00,Z101ZBR0,101,1,B,FS
5466,P102BC00,P102BP00,102,1,B,FS
5466,P102BP00,Z102ZBR0,102,1,B,FS
5466,Z104ZDI0,E104DS00,104,1,E,FS
5466,E104DS00,E104DG00,104,-3,E,FS
5466,Z105ZDI0,E105DS00,105,1,E,FS
5466,E105DS00,E105DG00,105,-3,E,FS
5466,W106GB00,Z106ZBI0,106,1,B,FS
5466,P106BP00,Z106ZBR0,106,1,B,FS
5466,Z107ZDI0,E107DS00,107,1,E,FS
5466,E107DS00,E107DG00,107,-3,E,FS
5466,W108GB00,Z108ZBI0,108,5,B,FS
5466,P108BP00,Z108ZBR0,108,1,B,FS
5466,W109GB00,Z109ZBI0,109,5,B,FS
5466,P109BP00,Z109ZBR0,109,1,B,FS
5466,E10AP000,A10AO000,10A,0,P,SS
5466,P10APP00,Z10AZPR0,10A,1,P,FS
5466,E10CP000,Z10CZPI0,10C,0,P,SS
5466,P10CPP00,Z10CZPR0,10C,1,P,FS
5466,E10FP000,Z10FZPI0,10F,0,P,SS
5466,P10FPP00,Z10FZPR0,10F,1,P,FS
5466,E10HP000,Z10HZPI0,10H,0,P,SS
5466,E10HP000,Z10HZPR0,10H,1,P,FS
5466,W110GB00,Z110ZBI0,110,2,B,FS
5466,P110BP00,Z110ZBR0,110,1,B,FS
5466,W111GB00,Z111ZBI0,111,3,B,FS
5466,P111BP00,Z111ZBR0,111,1,B,FS
5466,W113GB00,Z113ZBI0,113,2,B,FS
5466,P113BP00,Z113ZBR0,113,1,B,FS
5466,E11AP000,Z11AZPI0,11A,0,P,SS
5466,P11APP00,Z11AZPR0,11A,1,P,FS
5466,P11BBC00,P11BBP00,11B,1,P,FS
5466,P11BBP00,Z11BZBR0,11B,1,P,FS
5466,E11HP000,Z11HZPI0,11H,0,P,SS
5466,P11HPP00,Z11HZPR0,11H,1,P,FS
5466,W122GB00,Z122ZBI0,122,2,B,FS
5466,P122BP00,Z122ZBR0,122,1,B,FS
5466,W123GB00,Z123ZBI0,123,1,B,FS
5466,P123BP00,Z123ZBR0,123,1,B,FS
5466,W124GB00,Z124ZBI0,124,1,B,FS
5466,P124BP00,Z124ZBR0,124,1,B,FS
5466,W125GB00,Z125ZBI0,125,1,B,FS
5466,P125BP00,Z125ZBR0,125,1,B,FS
5466,E12DP000,Z12DZPI0,12D,0,P,SS
5466,P12DPP00,Z12DZPR0,12D,1,P,FS
5466,E12EP000,Z12EZPI0,12E,0,P,SS
5466,P12EPP00,Z12EZPR0,12E,1,P,FS
5466,W132GB00,Z132ZBI0,132,3,B,FS
5466,P132BP00,Z132ZBR0,132,1,B,FS
5466,W133GB00,Z133ZBI0,133,2,B,FS
5466,P133BP00,Z133ZBR0,133,1,B,FS
5466,W134GB00,Z134ZBI0,134,1,B,FS
5466,P134BP00,Z134ZBR0,134,1,B,FS
5466,W135GB00,Z135ZBI0,135,2,B,FS
5466,P135BP00,Z135ZBR0,135,1,B,FS
5466,E13DP000,Z13DZPI0,13D,0,P,SS
5466,P13DPP00,Z13DZPR0,13D,1,P,FS
5466,E13EP000,Z13EZPI0,13E,0,P,SS
5466,P13EPP00,Z13EZPR0,13E,1,P,FS
5466,W142GB00,Z142ZBI0,142,1,B,FS
5466,P142BP00,Z142ZBR0,142,1,B,FS
5466,W143GB00,Z143ZBI0,143,2,B,FS
5466,P143BP00,Z143ZBR0,143,1,B,FS
5466,W144GB00,Z144ZBI0,144,2,B,FS
5466,P144BP00,Z144ZBR0,144,1,B,FS
5466,W145GB00,Z145ZBI0,145,1,B,FS
5466,P145BP00,Z145ZBR0,145,1,B,FS
5466,W152GB00,Z152ZBI0,152,1,B,FS
5466,P152BP00,Z152ZBR0,152,1,B,FS
5466,W153GB00,Z153ZBI0,153,4,B,FS
5466,P153BP00,Z153ZBR0,153,1,B,FS
5466,W154GB00,Z154ZBI0,154,4,B,FS
5466,P154BP00,Z154ZBR0,154,1,B,FS
5466,W155GB00,Z155ZBI0,155,2,B,FS
5466,P155BP00,Z155ZBR0,155,1,B,FS
5466,W161GB00,Z161ZBI0,161,3,B,FS
5466,P161BP00,Z161ZBR0,161,1,B,FS
5466,W171GB00,Z171ZBI0,171,2,B,FS
5466,P171BP00,Z171ZBR0,171,1,B,FS
5466,W182GB00,Z182ZBI0,182,1,B,FS
5466,P182BP00,Z182ZBR0,182,1,B,FS
5466,W183GT00,Z183ZBI0,183,2,B,FS
5466,P183BP00,Z183ZBR0,183,1,B,FS
5466,W192GB00,Z192ZBI0,192,1,B,FS
5466,P192BP00,Z192ZBR0,192,1,B,FS
