PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,DESCRIPTION,PLANDURATION,물량,단위, 작업장
5466,W644GC00,644,B,644 BLK C Stage 중조 의장 ('C'),10,878.7,KG,조립의장-상선관철
5466,Z653ZBR0,653,B,653 BLK B Stage 발판 해체,2,375.3,매,발판지원-상선 일반발판
5466,P631BC00,631,B,631 BLK B Stage 선행 도장 전처리,1,2286.4,M2,선행도장-상선-전처리
5466,P922BP00,922,B,922 BLK B Stage 선행 도장,1,0,0,사외-선행도장-신한기계-선실용
5466,C225CC00,225,B,225 BLK J Stage 절단,20,315.2,TON,가공-상선-절단
5466,S436A000,436,B,436 BLK B Stage 조립,9,624.1,JL,조립3-상선-NPS
5466,C224CP00,224,B,224 BLK J Stage 절단 전처리,21,0,TON,가공-상선-전처리
5466,W639GC00,639,B,639 BLK C Stage 중조 의장 ('C'),7,706.7,KG,조립의장-상선관철
5466,Z631ZBI0,631,B,631 BLK B Stage 발판 설치,1,152.8,매,발판지원-상선 일반발판
5466,C738CC00,738,B,738 BLK J Stage 절단,15,199,TON,가공-상선-절단
5466,W733GC00,733,B,733 BLK C Stage 중조 의장 ('C'),7,1054,KG,조립의장-상선관철
5466,C634CC00,634,B,634 BLK J Stage 절단,14,234.2,TON,가공-상선-절단
5466,C651CC00,651,B,651 BLK J Stage 절단,12,247.5,TON,가공-상선-절단
5466,C421CP00,421,B,421 BLK J Stage 절단 전처리,8,0,TON,가공-상선-전처리
5466,W294GA00,294,B,294 BLK A Stage 대조 의장 ('A'),7,1193.2,KG,선행의장-상선 기장(POS)
5466,S105A000,105,B,105 BLK B Stage 조립,20,494.7,JL,조립3-상선-NPS
5466,C933CC00,933,B,933 BLK J Stage 절단,14,0,TON,사외-가공 절단-신한기계-선실용
5466,C914CP00,914,B,914 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,P522BP00,522,B,522 BLK B Stage 선행 도장,6,4204,M2,선행도장-상선-도장
5466,Z154ZBR0,154,B,154 BLK B Stage 발판 해체,1,286,매,발판지원-상선 일반발판
5466,S229A000,229,B,229 BLK B Stage 조립,21,3068.6,JL,조립1-PBS
5466,P107BP00,107,B,107 BLK B Stage 선행 도장,6,358.4,M2,선행도장-상선-도장
5466,Z652ZBR0,652,B,652 BLK B Stage 발판 해체,1,334.7,매,발판지원-상선 일반발판
5466,W109GB00,109,B,109 BLK B Stage 의장 ('B'),16,3248.329,KG,선행의장-상선 기장(POS)
5466,P644BC00,644,B,644 BLK B Stage 선행 도장 전처리,1,5420.48,M2,선행도장-상선-전처리
5466,W108GB00,108,B,108 BLK B Stage 의장 ('B'),11,4477.634,KG,선행의장-상선 기장(POS)
5466,W543GA00,543,B,543 BLK A Stage 대조 의장 ('A'),24,308.3,KG,조립의장-상선관철
5466,S236A000,236,B,236 BLK B Stage 조립,22,3344.8,JL,조립1-PBS
5466,P951BC00,951,B,951 BLK B Stage 선행 도장 전처리,1,0,0,사외-선행도장 전처리-신한기계-선실용
5466,W825GC00,825,B,825 BLK C Stage 중조 의장 ('C'),9,1435,KG,조립의장-상선관철
5466,P224BP00,224,B,224 BLK B Stage 선행 도장,7,7208.3,M2,선행도장-상선-도장
5466,C135CP00,135,B,135 BLK J Stage 절단 전처리,34,0,TON,가공-상선-전처리
5466,Z228ZBR0,228,B,228 BLK B Stage 발판 해체,1,150,매,발판지원-상선 일반발판
5466,Z531ZBR0,531,B,531 BLK B Stage 발판 해체,1,110,매,발판지원-상선 일반발판
5466,P161BC00,161,B,161 BLK B Stage 선행 도장 전처리,1,1461.95,M2,선행도장-상선-전처리
5466,W628GA00,628,B,628 BLK A Stage 대조 의장 ('A'),5,3141.6,KG,조립의장-상선관철
5466,Z833ZBI0,833,B,833 BLK B Stage 발판 설치,1,148,매,발판지원-상선 일반발판
5466,W635GA00,635,B,635 BLK A Stage 대조 의장 ('A'),10,1346.9,KG,조립의장-상선관철
5466,P910BC00,910,B,910 BLK B Stage 선행 도장 전처리,1,0,0,사외-선행도장 전처리-신한기계-선실용
5466,W533GC00,533,B,533 BLK C Stage 중조 의장 ('C'),7,276.1,KG,조립의장-상선관철
5466,P537BC00,537,B,537 BLK B Stage 선행 도장 전처리,1,3428.875,M2,선행도장-상선-전처리
5466,C237CP00,237,B,237 BLK J Stage 절단 전처리,20,0,TON,가공-상선-전처리
5466,S527A000,527,B,527 BLK B Stage 조립,15,2372.1,JL,조립3-상선-NPS
5466,Z528ZBR0,528,B,528 BLK B Stage 발판 해체,1,21.3,매,발판지원-상선 일반발판
5466,W113GC00,113,B,113 BLK C Stage 중조 의장 ('C'),32,107.88,KG,사외-선행의장 기장-주)퍼쉬
5466,C228CC00,228,B,228 BLK J Stage 절단,21,296.1,TON,가공-상선-절단
5466,P951BP00,951,B,951 BLK B Stage 선행 도장,1,0,0,사외-선행도장-신한기계-선실용
5466,S742A000,742,B,742 BLK B Stage 조립,15,2041.3,JL,조립1-PBS
5466,W226GC00,226,B,226 BLK C Stage 중조 의장 ('C'),14,1,LOT,조립의장-상선관철
5466,W725GA00,725,B,725 BLK A Stage 대조 의장 ('A'),13,957.8,KG,조립의장-상선관철
5466,S442A000,442,B,442 BLK B Stage 조립,9,624,JL,조립3-상선-NPS
5466,Z805ZBR0,805,B,805 BLK B Stage 발판 해체,1,37,매,사외-발판-신한기계
5466,P642BC00,642,B,642 BLK B Stage 선행 도장 전처리,1,4367.58,M2,선행도장-상선-전처리
5466,W107GS00,107,B,107 BLK S Stage 소조 의장 ('S'),5,1,LOT,선행의장-상선 기장(POS)
5466,S212A000,212,B,212 BLK B Stage 조립,15,3149.8,JL,조립1-PBS
5466,W538GC00,538,B,538 BLK C Stage 중조 의장 ('C'),5,297.4,KG,조립의장-상선관철
5466,W538GA00,538,B,538 BLK A Stage 대조 의장 ('A'),14,1559.3,KG,조립의장-상선관철
5466,C804CP00,804,B,804 BLK J Stage 절단 전처리,15,0,TON,가공-상선-전처리
5466,P532BP00,532,B,532 BLK B Stage 선행 도장,6,4148,M2,선행도장-상선-도장
5466,Z153ZBR0,153,B,153 BLK B Stage 발판 해체,1,234.5,매,발판지원-상선 일반발판
5466,S722A000,722,B,722 BLK B Stage 조립,15,1765.2,JL,조립1-PBS
5466,C539CP00,539,B,539 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,C111CP00,111,B,111 BLK J Stage 절단 전처리,39,0,TON,가공-상선-전처리
5466,W721GL00,721,B,721 COUPLAR BASE 설치,4,-,-,#N/A
5466,P644BP01,644,B,644 BLK B Stage 선행 보수 도장,3,1,LOT,선행도장-상선-도장
